,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
118,0.94287187,0.20233268,0.17637771,0.6328118,0.86207616,-0.30955273,0.86278975,0.034378335,-0.17658493,0.246061
119,-0.41375482,-0.402199,0.026020736,-0.81810397,-0.17391457,0.1033037,-0.094934575,-0.29831362,-0.43887943,-0.33393195
120,0.20597295,0.31333393,-1.4360337,0.37473354,-1.4244273,0.00272426,1.8585056,-0.23539093,-2.1909387,1.6593033
121,-0.05329214,-0.2859342,0.5975915,0.47122645,1.8543146,-0.2573397,-0.7088157,0.24332064,0.6292822,-0.080572665
122,-0.15557095,-0.65808934,0.67124254,0.3525101,1.1678158,0.22312564,-0.34180808,0.30859512,0.3736449,-0.67909986
123,0.28163797,-0.18757012,-0.5634861,0.09784685,-1.0089158,0.28727016,0.6024562,-0.17335841,-1.4494104,1.0739754
124,0.21515583,-0.30805153,-0.07013143,0.26604939,-0.5354051,0.032284647,0.3976963,-0.20474362,-1.1153526,0.12271446
125,0.5834708,0.49145508,-0.08861288,0.71292907,-0.5746787,-0.35899445,0.61897504,-0.7033227,-1.2060013,0.36677122
126,-0.41715163,-0.27051893,-0.45569822,0.10209097,-0.78224427,0.3546393,-0.3130179,0.9365873,0.5239567,1.0363106
127,0.4227069,-1.2005095,1.2793279,0.16260391,0.81930196,0.25359395,-1.0122439,0.60777086,1.1768804,-0.54085255
128,0.5503419,-0.8157047,1.4115067,-0.2734946,0.81933427,0.79308283,0.2617835,0.56340337,0.26275772,-1.0047036
129,0.32482862,0.43890107,0.92899746,-0.3829968,0.4296885,-0.18613377,-0.36188072,0.07779511,-0.17220825,-0.15116705
130,-0.36010188,0.020429656,0.63151705,-0.57934797,1.1482728,-0.4165562,-0.4023257,0.3867832,0.3402332,-0.024537832
131,-0.070125714,0.03396243,0.8276279,-0.86573935,0.9571147,-0.075992286,-0.29161194,0.36186376,0.07607919,-0.31259924
132,0.49892217,-0.14660592,0.25250673,-0.09651402,-0.632922,0.46101543,-0.101353884,-0.49088457,-0.8572513,0.58948064
133,0.110226616,-0.5882866,1.269783,-0.34029192,1.355123,0.054970294,-0.19358796,0.7472166,0.6173336,-0.6996467
134,0.08416538,-0.17281845,0.19159421,0.39904606,-0.24673605,-0.061561495,0.15694699,0.0743253,-0.47759238,-0.66834754
135,0.25330108,-0.8416158,1.1711171,-0.4622872,0.85513365,0.43321797,-0.54707944,0.53918403,0.50819,-0.5932715
136,0.2539369,-0.09900444,0.88474876,-0.20215356,0.1481991,0.35832438,0.10578558,-0.015997916,-0.3938405,-0.54036546
137,-0.34016156,-0.5795466,0.5550506,-0.63905,0.12979953,0.36791146,-0.3416171,0.43911737,0.25520098,-0.27367926
138,-0.67784184,-0.12481653,-0.20387581,-0.16013524,-0.25753725,0.25132766,-0.25259995,0.34970215,0.1045216,0.49609697
139,-0.19738603,0.39286518,-0.50584805,1.2459338,-0.6970461,-0.14633384,-0.24935143,-0.50790715,-0.1920324,0.8167515
140,-0.69971097,-0.22589466,-0.79328644,0.20770556,-0.11939186,0.41132987,0.03770867,0.6137181,0.17964324,0.5939756
141,-0.33162552,-0.17404558,0.03262244,0.2383013,0.06471263,-0.10366991,-0.8053382,0.13496315,0.25737703,0.34810597
142,-0.8248984,-0.49584657,-0.7910212,0.08286287,-0.29135245,0.12923446,0.33234325,0.27995625,-0.410302,0.44589734
143,-0.5618498,0.0060164407,0.19210285,-0.727852,0.48750794,-0.1695709,-0.007705629,0.058221333,-0.12565544,-0.20413719
144,-0.4166271,-0.54399645,0.6347171,-0.7079331,0.31797123,0.3101563,-0.34980237,0.35541248,0.34093148,-0.2666697
145,-0.34064364,-0.48280108,0.4618377,-0.22923619,-0.2913076,0.3076085,-0.66283244,0.28280818,0.2584347,0.16061185
146,0.23846729,-1.1645807,1.2783923,-0.5860859,-0.04941222,0.7293156,-0.37767002,0.6214694,0.6840482,-0.5938444
147,-0.16611518,-1.0385864,0.5039281,0.10695809,0.011909172,0.5671451,-0.4225938,0.7272352,0.46591163,-0.37369466
148,-0.7428613,0.40291137,-0.23377576,-0.46285653,-0.0031548142,-0.08105227,-0.11501554,-0.04059863,-0.028699592,0.34183776
149,0.43680137,0.059412062,1.3307068,-0.83305776,0.73434615,-0.012503922,-0.2835747,0.3450953,-0.03961,-0.4822697
150,-0.13361105,0.36839175,-0.36967385,1.0656466,-0.5430032,-0.15135852,-0.11274877,-0.61144465,-0.49835318,0.8485664
151,-0.5453408,0.48524225,-0.6982887,0.97728103,-0.1637813,-0.20490667,0.61822855,-0.51132727,-0.6427591,0.327781
152,-0.3098796,-0.020371936,0.44820803,-0.25406873,0.96124935,-0.20553097,-0.5717939,0.2896782,0.41389704,-0.13155185
153,-0.4237839,-0.7851912,0.42531598,-0.69451624,0.18901701,0.5346204,-0.40316814,0.64768654,0.5173009,-0.11349447
154,0.2196015,-0.65104604,1.1851668,-0.45969868,0.57936263,0.40564755,-0.29476002,0.49639767,0.34423894,-0.8072365
155,-0.37117907,-0.1807133,0.20468548,-0.24848777,-0.1022376,0.32550222,-0.36225677,0.13227975,-0.020839527,-0.080869645
156,0.39044905,-0.34477237,1.3678768,-1.2670987,0.79202116,0.22291222,-0.48588094,0.76780045,0.4637112,-0.43620062
157,-0.71783274,1.0894433,-0.67379004,1.4501523,-0.31101012,-0.2867439,0.77455485,-0.803905,-0.6314869,0.68413746
158,0.021166235,-1.1294278,0.7894745,-0.4135328,0.6975216,0.3599191,-0.5082214,0.64868087,0.6041187,-0.41824073
159,-0.19691876,-1.1406277,0.63826835,-0.5836499,0.32317877,0.6423019,-0.030733258,0.6702121,0.47901613,-0.4909017
160,1.6199822,-0.38542336,0.8771935,-1.606088,0.21144573,0.99104786,-0.4916715,-0.10734412,0.45463747,-0.77813697
161,-0.07211752,-0.21841522,-0.84676266,-0.046355486,-0.055824637,0.071671456,-0.083094925,0.2970033,-0.18464994,-0.33954453
162,-0.012956336,-0.34813374,0.9454611,-0.38653058,-0.19779716,0.21353038,-0.81037784,0.41113162,0.26672304,0.16790225
163,0.557664,-0.36862952,0.8608816,-0.8880129,-0.03864923,0.7391402,-0.22938107,0.13312766,0.021893293,-0.33044595
164,-0.5176153,0.9367643,-0.86509,1.5448707,-0.81407577,-0.4300746,1.0725325,-0.84921306,-1.044601,1.1227491
165,-0.4584394,-0.14292544,-1.0487292,-0.1815351,0.16257082,0.34555042,-0.07065493,0.80099386,0.33264393,0.121598065
166,-0.059156254,-0.10287378,-0.33074826,0.15175727,-0.01453276,-0.14643309,0.16029736,-0.08702535,-0.38716972,-0.7397383
167,0.3451808,-0.37051725,-0.61274374,-0.68066347,0.48438853,0.33594435,-0.5509131,0.5211703,0.37378776,-0.48142493
168,-0.28419614,-0.041792758,-0.47381464,-0.14690226,0.5003582,0.12815017,-0.28782204,0.3030698,0.0361616,-0.24246947
169,1.1206262,-0.38942713,-0.2267451,-1.0839461,0.052000895,0.4518367,-1.1922637,0.097284,1.0413759,-0.734656
170,0.59395707,-0.7412887,-0.20987178,-1.0499331,0.37587917,0.69669056,0.0009690225,0.67448753,0.24003756,-1.0202235
171,0.41356593,-1.05153,-0.16646649,-0.5524863,0.32318187,0.89482164,-0.34938923,0.83490723,0.49684906,-0.6136662
172,0.24422054,-0.49724984,-0.38949317,0.036752924,-0.11152763,0.4981936,-0.6523378,0.21364781,0.17178646,-0.35239404
173,0.16319714,0.31831127,-0.21078064,-0.2749765,-0.4486997,0.2624692,-0.4051362,-0.10383481,-0.1357603,0.3097372
174,0.8930286,0.2766304,0.27289495,-0.6321077,-0.2244874,-0.060277015,-0.8926749,-0.04556654,0.6344607,-0.13452546
175,0.53277683,-0.6567064,0.039442167,-0.476098,0.14966653,0.68947315,-0.58602595,0.39232737,0.47024322,-0.84001994
176,0.35744166,-0.9064771,0.74545586,-0.30792773,0.09927632,0.98238814,-0.287979,0.624658,0.44067,-0.7226189
177,-0.5029773,-0.16866213,1.4526649,-0.5669834,0.09009348,-0.7783302,0.22123739,-0.37939933,-0.90449417,0.15347755
178,-0.70589733,-0.13413215,1.2377839,-0.3810866,-0.26542932,-1.3393378,0.68959916,-0.64572656,-1.0034676,0.18580127
179,-1.1394072,0.23551755,-1.4135904,-0.31549537,0.4200318,0.27232096,0.37442598,0.8432108,0.67588377,0.5274146
180,0.6319668,-0.72306865,0.9913929,-1.1250621,0.33541322,1.0203983,-0.6629747,0.6171276,0.6972667,-0.7471744
181,1.592156,-0.44145745,0.82375425,-1.6444161,0.24136879,0.8791263,-0.22202112,0.07451152,0.31681126,-1.2035868
182,0.10017072,1.4842103,-0.4914611,1.2338057,-1.0504835,-0.65162265,0.49790826,-0.8778629,-0.75152993,0.93184453
183,0.41987318,0.8090909,0.62822604,0.3786112,-0.31441012,-0.58869696,0.1517475,-0.60285616,-0.7040609,0.063163966
184,-0.33027887,1.7388524,0.21214321,2.190814,-1.8282139,-1.8724225,1.7345015,-2.4081807,-2.057078,1.8691615
185,0.060352787,0.19447444,1.5642827,-0.6159969,-0.116928354,-0.46459177,0.39102927,-0.26360843,-1.0032768,-0.07785112
186,-0.9769199,1.2175032,-0.7426304,0.97746086,-0.3034354,-0.24057147,0.9393492,-0.80245405,-0.3885471,0.61694497
187,0.99744725,-0.39134598,-0.81503457,-0.94039714,1.6826591,0.1607481,-0.93187046,0.5591387,1.3021848,-0.59520483
188,1.9817393,0.40176356,0.3639096,-0.64628476,-0.4320488,-0.2701678,-0.9363996,-0.9151833,0.50813556,0.063876614
189,0.25367457,0.57241535,0.25617492,1.0160761,-2.074054,-0.8023913,1.1706458,-2.0896995,-1.8039155,2.3871713
190,-0.59106535,1.7584976,-0.7410966,1.3437817,-0.31036848,-0.66205394,0.71438885,-1.1360925,-0.17308563,0.40441817
191,-0.6573957,0.42876726,-1.9373782,0.33569592,0.011225522,0.62661475,0.113197,1.721134,1.0816416,0.86452
192,-3.7984312,1.9823519,-0.86131865,2.5830479,-1.2328205,-2.7444878,3.5964372,-2.108397,-0.93453336,2.6939719
193,-1.9896709,4.3884397,-0.3644584,3.713255,-4.2036443,-4.5774016,3.825815,-3.3513193,-2.0902758,3.1850271
194,-2.5199952,1.6104696,-1.0424138,1.0824862,-0.32110995,-1.190423,2.3156815,-1.695878,-0.5928187,1.1471694
195,0.7211265,1.7776556,1.6122792,-0.28529412,-0.05149387,-1.5982145,-0.25902906,-0.24303159,-0.2909971,0.01891011
196,-0.030921072,0.03397785,1.418354,0.5368124,-1.5902739,-1.059522,0.9114578,-1.8946453,-1.8461133,1.6646941
197,-1.0180209,1.2269478,2.1251187,0.44285962,-1.9896725,-3.2747314,1.1680797,-1.5057616,-2.121622,1.6456405
198,0.33495575,-0.26704657,1.6193576,-1.1769814,1.8606293,-0.64276445,-0.89440525,1.214551,1.1571494,0.053750053
199,1.1636816,-0.7922421,0.5996668,-0.9616144,2.5289516,0.2743627,-0.9637265,0.8277972,1.704612,-0.7301381
200,1.6351866,-0.9945874,1.6226823,-1.187103,1.0001699,1.4751981,0.0504615,0.35005352,0.41371983,-1.4212164
201,0.32386112,-0.10963473,-1.2247059,-0.63395894,-0.47924215,0.4141707,-0.55311024,0.5811709,0.45219302,-0.12828551
202,1.3094277,-0.6597048,0.5666297,-1.4897867,1.2798189,0.8680626,-1.2211891,0.5656377,1.6019171,-1.1355715
203,0.34536016,-1.8291882,-1.0173845,0.1917052,0.401942,0.98998725,-0.21096142,2.6947145,1.4310814,0.038812183
204,0.8075029,-1.5502411,0.54784495,-0.9642441,0.25911927,1.3605894,-0.4082269,1.6521832,1.0802869,-0.82060844
205,-0.16675147,1.0468159,0.93305236,0.25324303,-0.8782741,-1.4910134,0.29575166,-0.6839975,-0.9718682,0.3064685
206,1.6815414,-0.43639123,-0.924716,-0.9153329,0.09508051,0.28109738,-0.58025295,-0.07084802,0.6678273,-1.5836793
